0.889 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001
0.850 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.001
0.842 ± 0.000   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.847 ± 0.000   nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.865 ± 0.000   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.865 ± 0.000   nhidden 512,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.866 ± 0.006   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,lr 0.001
0.859 ± 0.002   nhidden 512,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,lr 0.001
0.872 ± 0.005   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,lr 0.001
0.845 ± 0.004   nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,lr 0.001
0.851 ± 0.019   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 5,epochs 2000,heads 5,m 5,lr 0.001
