0.939 ± 0.001   nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.929 ± 0.005   nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 3,epochs 2000,heads 5,m 5,lr 0.001
