0.889 ± 0.061   nhidden 64,nembed 32,layer 1,dataset cora,sub_dataset cora,run 5,epochs 2000,heads 5,m 5,lr 0.001
0.918 ± 0.034   nhidden 64,nembed 32,layer 1,dataset cora,sub_dataset cora,run 5,epochs 2000,heads 5,m 5,lr 0.001
