0.987 ± 0.003   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset Reed98,run 5,epochs 2000,heads 5,m 5,alpha 0.85,lr 0.001
0.987 ± 0.002   nhidden 128,nembed 32,layer 1,dataset chameleon,sub_dataset Reed98,run 5,epochs 2000,heads 5,m 5,alpha 0.85,lr 0.001
0.988 ± 0.001   nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset Reed98,run 5,epochs 2000,heads 5,m 5,alpha 0.85,lr 0.001
0.986 ± 0.004   nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset Reed98,run 5,epochs 2000,heads 5,m 5,alpha 0.85,lr 0.001
