0.861 ± 0.019   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.876 ± 0.012   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.878 ± 0.013   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.857 ± 0.023   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.858 ± 0.028   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.882 ± 0.008   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,heads 5,m 5,lr 0.001
