0.896 ± 0.004   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.896 ± 0.005   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.871 ± 0.005   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.873 ± 0.003   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.884 ± 0.005   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,heads 5,m 5,lr 0.001
0.874 ± 0.003   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,heads 5,m 5,lr 0.001
