0.985 ± 0.000   beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset ENGB,run 2,epochs 2000,lr 0.0001,m 5
0.990 ± 0.000,[0.98956381],beta 0.2,temperature 1,nfactor 3,nhidden 256,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.994 ± 0.000,[0.99385503],beta 0.6,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.991 ± 0.000,[0.99064794],beta 0.1,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.990 ± 0.000,[0.99021493],beta 0.2,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.992 ± 0.000,[0.99170253],beta 0.3,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.994 ± 0.000,[0.99373347],beta 0.4,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.993 ± 0.000,[0.99307207],beta 0.5,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.994 ± 0.000,[0.99409889],beta 0.7,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.993 ± 0.000,[0.99280309],beta 0.8,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.994 ± 0.000,[0.99364748],beta 0.9,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 1,epochs 2000,lr 0.0001,miniid 2,m 5
0.994 ± 0.000,[0.99358531 0.99377644 0.99408571 0.99359602 0.99310139],beta 0.7,temperature 1,nfactor 3,nhidden 512,nembed 32,layer 1,dataset chameleon,sub_dataset DE,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
