0.946 ± 0.000,[0.94584639],beta 0.6,temperature 1,nfactor 5,nhidden 64,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 1,epochs 2000,lr 0.001,miniid 0,m 5
0.953 ± 0.001,[0.95224806 ,0.95335583,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 2,m 5
0.952 ± 0.001,[0.95039359 ,0.95307678,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 2,m 5
0.953 ± 0.002,[0.95153252 ,0.95468312,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 2,m 5
0.954 ± 0.003,[0.95039576 ,0.95726228,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 2,m 5
0.954 ± 0.000,[0.95392786 ,0.95338469,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 2,m 5
0.924 ± 0.002,[0.92252249 ,0.92606147,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.934 ± 0.003,[0.93081444 ,0.9373543 ,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.942 ± 0.001,[0.9403968  ,0.94275796,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.946 ± 0.000,[0.94598638 ,0.94652601,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
0.944 ± 0.000,[0.94403524 ,0.94415584,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 3,m 5
