0.915 ± 0.000   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 1,epochs 2000,heads 5,m 5,lr 0.0001
0.917 ± 0.000   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.914 ± 0.003   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,heads 5,m 5,lr 0.001
0.898 ± 0.002   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 3,epochs 2000,heads 5,m 5,lr 0.001
0.882 ± 0.004   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 3,epochs 2000,heads 5,m 5,lr 0.001
