0.893 ± 0.002   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.0,lr 0.001
0.891 ± 0.001   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.1,lr 0.001
0.894 ± 0.004   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.2,lr 0.001
0.895 ± 0.003   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.3,lr 0.001
0.874 ± 0.019   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.4,lr 0.001
0.876 ± 0.011   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.5,lr 0.001
0.883 ± 0.011   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.6,lr 0.001
0.891 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.7,lr 0.001
0.897 ± 0.000   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.8,lr 0.001
0.889 ± 0.005   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 0.9,lr 0.001
0.892 ± 0.009   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,heads 5,m 5,alpha 1.0,lr 0.001
0.888 ± 0.002   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.0,lr 0.001
0.886 ± 0.003   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.1,lr 0.001
0.868 ± 0.014   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.2,lr 0.001
0.868 ± 0.013   nhidden 64,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,heads 5,m 5,alpha 0.3,lr 0.001
