0.822 ± 0.008   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 10,epochs 2000,lr 0.001
0.828 ± 0.007   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.001
0.754 ± 0.007   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.001
0.777 ± 0.010   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,lr 0.001
0.795 ± 0.014   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.001
0.771 ± 0.003   nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.001
