0.945 ± 0.000   nhidden 64,nembed 32,layer 1,dataset squirrel,sub_dataset squirrel,run 1,epochs 2000,lr 0.0001
0.946 ± 0.000   nhidden 64,nembed 32,layer 1,dataset squirrel,sub_dataset squirrel,run 1,epochs 2000,lr 0.0001
0.942 ± 0.000   nhidden 64,nembed 32,layer 1,dataset squirrel,sub_dataset squirrel,run 1,epochs 2000,lr 0.0001
0.943 ± 0.000   nhidden 64,nembed 32,layer 1,dataset squirrel,sub_dataset squirrel,run 1,epochs 2000,lr 0.0001
0.947 ± 0.000   nhidden 64,nembed 32,layer 1,dataset squirrel,sub_dataset squirrel,run 1,epochs 2000,lr 0.0001
