0.916 ± 0.001   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 10,epochs 2000,lr 0.001
0.880 ± 0.000   nhidden 64,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 1,epochs 2000,lr 0.001
0.901 ± 0.000   nhidden 128,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 1,epochs 2000,lr 0.001
0.901 ± 0.000   nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 1,epochs 2000,lr 0.001
0.898 ± 0.001   nhidden 128,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 5,epochs 2000,lr 0.001
0.900 ± 0.001   nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Reed98,run 5,epochs 2000,lr 0.001
