0.597 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.0001
0.558 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.553 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.896 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.921 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.01
0.867 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.01
0.934 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.001
0.943 ± 0.000   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 1,epochs 2000,heads 5,m 5,lr 0.0001
0.938 ± 0.026   nhidden 64,nembed 32,layer 1,dataset chameleon,sub_dataset chameleon,run 5,epochs 2000,heads 5,m 5,lr 0.0001
