0.839 ± 0.003   beta 0.1,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.845 ± 0.001   beta 0.2,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.851 ± 0.001   beta 0.3,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.853 ± 0.001   beta 0.4,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.856 ± 0.002   beta 0.5,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.855 ± 0.001   beta 0.6,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.854 ± 0.002   beta 0.7,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.856 ± 0.000   beta 0.8,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.846 ± 0.003   beta 0.9,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
