0.792 ± 0.001   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.795 ± 0.000   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.764 ± 0.002   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.774 ± 0.002   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.772 ± 0.001   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 2,epochs 2000,lr 0.001,loss_weight 20 
