0.833 ± 0.000   beta 0.1,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.861 ± 0.003   beta 0.4,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.865 ± 0.002   beta 0.5,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.868 ± 0.000   beta 0.6,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.865 ± 0.002   beta 0.7,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.862 ± 0.001   beta 0.8,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.864 ± 0.001   beta 0.9,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.0001,loss_weight 20 
0.878 ± 0.000   beta 0.6,temperature 1,nfactor 4,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.001,loss_weight 20 
