0.739 ± 0.002   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.784 ± 0.001   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.735 ± 0.001   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.759 ± 0.006   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.769 ± 0.002   beta 1.0,temperature 1,nfactor 3,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 2,epochs 2000,lr 0.001,loss_weight 20 
