0.850 ± 0.007   beta 0.1,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.863 ± 0.002   beta 0.3,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.867 ± 0.005   beta 0.4,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.868 ± 0.001   beta 0.5,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.870 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.874 ± 0.001   beta 0.7,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.875 ± 0.000   beta 0.8,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.871 ± 0.002   beta 0.9,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
0.877 ± 0.001   beta 0.8,temperature 1,nfactor 4,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,loss_weight 20 
